accession	baltimore
NC_036603.1	III
NC_036619.1	V
NC_036877.1	II
NC_037056.1	IV
NC_037061.1	I
NC_037574.1	III
NC_037579.1	III
NC_037580.1	III
NC_037589.1	III
NC_038011.1	III
NC_038287.1	V
NC_038302.1	IV
NC_038369.1	I
NC_038372.1	I
NC_038378.1	VII
NC_038379.1	VII
NC_038380.1	VII
NC_038381.1	VII
NC_038382.1	VII
NC_038384.1	V
NC_038388.1	II
NC_038415.1	II
NC_038438.1	II
NC_038448.1	II
NC_038452.1	II
NC_038466.1	II
NC_038470.1	II
NC_038503.1	VII
NC_038512.1	VI
NC_038522.1	I
NC_038562.1	IV
NC_038598.1	III
NC_038604.1	III
NC_038611.1	III
NC_038612.1	III
NC_038620.1	III
NC_038648.1	III
NC_038658.1	III
NC_038667.1	III
NC_038668.1	VI
NC_038669.1	VI
NC_038733.1	V
NC_038783.1	III
NC_038792.1	II
NC_038795.1	II
NC_038811.1	II
NC_038815.1	II
NC_038820.1	V
NC_038825.1	III
NC_038841.1	III
NC_038845.1	III
NC_038855.1	V
NC_038858.1	VI
NC_038872.1	III
NC_038883.1	II
NC_038917.1	III
NC_038922.1	VI
NC_038923.1	VI
NC_038942.1	V
NC_038951.1	III
NC_038986.1	VII
NC_038987.1	VII
NC_038995.1	VII
NC_039002.1	IV
NC_039022.1	VI
NC_039023.1	VI
NC_039024.1	VI
NC_039025.1	VI
NC_039026.1	VI
NC_039027.1	VI
NC_039028.1	VI
NC_039029.1	VI
NC_039030.1	VI
NC_039031.1	VI
NC_039062.1	II
NC_039082.1	II
NC_039085.1	VI
NC_039214.1	II
NC_039223.1	V
NC_039228.1	VI
NC_039237.1	IV
NC_039238.1	VI
NC_039242.1	VI
NC_039477.1	IV
NC_040180.1	II
NC_040188.1	II
NC_040397.1	III
NC_040413.1	III
NC_040445.1	III
NC_040497.1	III
NC_040552.1	VII
NC_040566.1	I
NC_040592.1	III
NC_040611.1	IV
NC_040622.1	VII
NC_040627.1	IV
NC_040635.1	VII
NC_040650.1	IV
NC_040692.1	VII
NC_040693.1	VII
NC_040704.1	III
NC_040709.1	I
NC_040712.1	VII
NC_040715.1	I
NC_040719.1	VII
NC_040739.1	III
NC_040747.1	II
NC_040760.1	IV
NC_040791.1	IV
NC_040801.1	II
NC_040807.1	VII
NC_040808.1	VII
NC_040809.1	VII
NC_040827.1	I
NC_040828.1	III
NC_040841.1	VII
NC_040843.1	II
NC_041926.1	I
NC_041938.1	I
NC_042015.1	I
NC_042053.1	I
NC_042070.1	III
NC_042071.1	III
NC_042080.1	I
NC_042092.1	I
NC_042346.1	I
NC_043029.1	II
NC_043034.1	V
NC_043104.1	VII
NC_043111.1	IV
NC_043116.1	IV
NC_043148.1	IV
NC_043180.1	III
NC_043193.1	VI
NC_043194.1	VI
NC_043195.1	VI
NC_043196.1	VI
NC_043216.1	I
NC_043371.1	III
NC_043372.1	III
NC_043382.1	VI
NC_043395.1	III
NC_043404.1	VI
NC_043406.1	IV
NC_043424.1	IV
NC_043426.1	VI
NC_043445.1	VI
NC_043473.1	V
NC_043491.1	VI
NC_043499.1	V
NC_043523.1	VII
NC_043528.1	VII
NC_043534.1	VII
NC_043535.1	VII
NC_043541.1	IV
NC_043543.1	IV
NC_043547.1	V
NC_043560.1	V
NC_043591.1	V
NC_043598.1	V
NC_043623.1	V
NC_043628.1	V
NC_043638.1	V
NC_043644.1	V
NC_043645.1	V
NC_043648.1	V
NC_043671.1	III
NC_043690.1	V
NC_044046.1	IV
NC_044939.1	I
NC_044955.1	I
NC_046959.1	IV
NC_047902.1	I
NC_047928.1	II
NC_047955.1	I
NC_048000.1	I
NC_048024.1	I
NC_048026.1	I
NC_048096.1	I
NC_048155.1	I
NC_048181.1	I
NC_048675.1	I
NC_048709.1	I
NC_048718.1	I
NC_048743.1	I
NC_048818.1	I
NC_048871.1	I
NC_049351.1	I
NC_049366.1	I
NC_049369.1	I
NC_049408.1	I
NC_049419.1	I
NC_049445.1	I
NC_049498.1	I
NC_049827.1	I
NC_049851.1	I
NC_049936.1	I
NC_050151.1	I
NC_051616.1	I
NC_051713.1	I
NC_051728.1	I
NC_052967.1	I
NC_052980.1	I
NC_053008.1	I
NC_053507.1	I
NC_053514.1	I
NC_054003.1	IV
NC_054419.1	I
NC_054460.1	I
NC_054642.1	I
NC_054680.1	I
NC_054779.1	I
NC_054781.1	I
NC_054803.1	I
NC_055015.1	I
NC_055119.1	V
NC_055152.1	II
NC_055154.1	II
NC_055175.1	V
NC_055176.1	V
NC_055197.1	V
NC_055236.1	VII
NC_055237.1	VII
NC_055238.1	VII
NC_055240.1	III
NC_055249.1	III
NC_055257.1	III
NC_055276.1	III
NC_055284.1	III
NC_055447.1	IV
NC_055456.1	V
NC_055464.1	II
NC_055479.1	V
NC_055481.1	VII
NC_055497.1	IV
NC_055519.1	II
NC_055558.1	I
NC_055562.1	VII
NC_055574.1	IV
NC_055588.1	VII
NC_055598.1	VII
NC_055604.1	VII
NC_055631.1	III
NC_055640.1	V
NC_055708.1	I
NC_055771.1	I
NC_055780.1	I
NC_055842.1	I
NC_055894.1	I
NC_055922.1	V
NC_062742.1	I
NC_062751.1	I
NC_062764.1	I
NC_062768.1	I
NC_070670.1	I
NC_070678.1	I
NC_070877.1	I
NC_070916.1	I
NC_073058.1	I
NC_073074.1	I
NC_073623.1	I
NC_073750.1	II
NC_073760.1	II
NC_073763.1	IV
NC_073798.1	IV
NC_073833.1	IV
NC_073892.1	IV
NC_073913.1	IV
NC_073991.1	IV
NC_074018.1	IV
NC_074035.1	IV
NC_074050.1	IV
NC_074051.1	IV
NC_074109.1	IV
NC_074122.1	IV
NC_074135.1	IV
NC_074169.1	IV
NC_074174.1	IV
NC_074203.1	IV
NC_074210.1	IV
NC_074275.1	IV
NC_074316.1	IV
NC_074345.1	IV
NC_074350.1	IV
NC_074361.1	IV
NC_074370.1	IV
NC_074483.1	IV
NC_074488.1	IV
NC_074490.1	IV
NC_074503.1	IV
NC_074516.1	IV
NC_074542.1	IV
NC_074560.1	I
NC_074604.1	IV
NC_074786.1	IV
NC_074953.1	VII
NC_074954.1	VII
NC_075015.1	IV
NC_075276.1	II
NC_075281.1	IV
NC_075287.1	II
NC_075290.1	II
NC_075292.1	II
NC_075301.1	II
NC_075332.1	II
NC_075372.1	II
NC_075430.1	VII
NC_075431.1	VII
NC_075434.1	VI
NC_075440.1	V
NC_075972.1	IV
NC_076022.1	VII
NC_076023.1	VII
NC_076026.1	VII
NC_076032.1	IV
NC_076048.1	VII
NC_076102.1	I
NC_076172.1	II
NC_076179.1	IV
NC_076180.1	IV
NC_076183.1	II
NC_076205.1	VII
NC_076224.1	II
NC_076234.1	II
NC_076239.1	V
NC_076241.1	V
NC_076247.1	VII
NC_076249.1	V
NC_076260.1	V
NC_076263.1	V
NC_076269.1	V
NC_076273.1	II
NC_076299.1	II
NC_076349.1	VII
NC_076375.1	II
NC_076377.1	II
NC_076395.1	V
NC_076399.1	II
NC_076402.1	II
NC_076434.1	II
NC_076454.1	V
NC_076455.1	V
NC_076461.1	V
NC_076518.1	IV
NC_076553.1	IV
NC_076606.1	VII
NC_076623.1	IV
NC_076674.1	IV
NC_076685.1	IV
NC_076695.1	IV
NC_076710.1	IV
NC_076724.1	IV
NC_076725.1	IV
NC_076733.1	IV
NC_076736.1	IV
NC_076762.1	IV
NC_076801.1	IV
NC_076832.1	IV
NC_076842.1	V
NC_076862.1	V
NC_076875.1	V
NC_076885.1	VII
NC_076897.1	V
NC_076931.1	V
NC_076932.1	V
NC_076947.1	VI
NC_076951.1	V
NC_077010.1	II
NC_077041.1	V
NC_077043.1	V
NC_077050.1	II
NC_077056.1	IV
NC_077067.1	I
NC_077070.1	VII
NC_077075.1	II
NC_077103.1	IV
NC_077108.1	VII
NC_077109.1	II
NC_077131.1	II
NC_077139.1	II
NC_077148.1	II
NC_077165.1	VII
NC_077167.1	II
NC_077172.1	V
NC_077180.1	II
NC_077201.1	II
NC_077667.1	V
NC_077696.1	III
NC_077756.1	III
NC_077801.1	IV
NC_077810.1	V
NC_077828.1	V
NC_077940.1	V
NC_077946.1	V
NC_078005.1	V
NC_078011.1	III
NC_078020.1	V
NC_078031.1	III
NC_078036.1	V
NC_078098.1	III
NC_078129.1	V
NC_078160.1	V
NC_078169.1	V
NC_078223.1	V
NC_078227.1	V
NC_078259.1	V
NC_078261.1	V
NC_078266.1	V
NC_078267.1	V
NC_078278.1	II
NC_078287.1	V
NC_078290.1	V
NC_078343.1	V
NC_078396.1	V
NC_078400.1	V
NC_078413.1	V
NC_078461.1	III
NC_078559.1	V
NC_078570.1	IV
NC_078587.1	V
NC_078596.1	V
NC_078599.1	V
NC_078611.1	V
NC_078616.1	V
NC_078732.1	V
NC_078767.1	IV
NC_078773.1	V
NC_078866.1	V
NC_078890.1	V
NC_078926.1	V
NC_078936.1	V
NC_078950.1	V
NC_078956.1	V
NC_078959.1	V
NC_078998.1	V
NC_079005.1	V
NC_079028.1	V
NC_079031.1	V
NC_079066.1	V
NC_079097.1	V
NC_079129.1	V
NC_103785.1	II
NC_104949.1	II
NC_105115.1	I
NC_106835.1	I
NC_107026.1	I
NC_108593.1	I
NC_109869.1	I
NC_111671.1	I
NC_115621.1	II
NC_116093.1	III
NC_116560.1	V
NC_116642.1	III
NC_116689.1	III
NC_116862.1	V
NC_116875.1	III
NC_117243.1	V
NC_129838.1	I
NC_134264.1	I
NC_135462.1	II
NC_135470.1	III
NC_135602.1	III
NC_135604.1	III
NC_135608.1	III
NC_137448.1	II
NC_137450.1	II
NC_138333.1	II
NC_138399.1	II
NC_138401.1	II
NC_138487.1	I
NC_138494.1	I
NC_139133.1	IV
NC_139175.1	III
NC_139205.1	III
NC_139214.1	V
