accession	quota_group
NC_003987.1	IV
NC_003996.1	IV
NC_004007.1	IV
NC_004014.1	IV
NC_004037.2	I
NC_004039.1	IV
NC_004066.1	?
NC_004068.1	I
NC_004084.1	I
NC_004086.1	I
NC_004087.1	I
NC_004096.1	II
NC_004107.1	VII
NC_004156.2	I
NC_004215.1	III
NC_004216.1	III
NC_004367.1	I
NC_004425.1	IV
NC_004441.1	IV
NC_004450.1	VII
NC_004560.1	?
NC_004581.1	II
NC_004730.1	IV
NC_004765.1	I
NC_004810.1	IV
NC_005079.1	?
NC_005210.2	IV
NC_005221.1	?
NC_005235.1	V
NC_005238.1	V
NC_005261.3	I
NC_005265.1	I
NC_005283.1	V
NC_005301.3	V
NC_005338.2	II
NC_005360.1	I
NC_005361.1	I
NC_005778.1	IV
NC_005830.1	I
NC_005832.1	I
NC_005888.1	VII
NC_005892.1	I
NC_005897.1	?
NC_005906.1	I
NC_005950.1	VII
NC_005988.1	III
NC_005990.1	III
NC_005999.1	III
NC_006003.1	III
NC_006008.2	III
NC_006015.1	III
NC_006022.1	III
NC_006053.1	V
NC_006262.1	IV
NC_006272.1	IV
NC_006309.2	V
NC_006429.1	V
NC_006437.1	V
NC_006556.1	I
NC_006640.1	?
NC_006655.1	?
NC_006659.1	?
NC_006943.1	IV
NC_006949.1	?
NC_007015.1	VI
NC_007040.1	?
NC_007145.2	I
NC_007159.1	III
NC_007211.1	II
NC_007217.1	I
NC_007218.1	II
NC_007341.1	IV
NC_007369.1	V
NC_007409.1	I
NC_007550.1	III
NC_007585.1	III
NC_007587.1	III
NC_007619.1	?
NC_007642.1	V
NC_007668.1	III
NC_007747.1	III
NC_007815.2	VI
NC_007905.1	?
NC_007914.1	I
NC_007918.1	II
NC_007922.1	I
NC_007923.1	I
NC_007966.1	II
NC_007987.1	?
NC_008017.1	VII
NC_008030.1	I
NC_008032.1	I
NC_008034.1	VII
NC_008057.1	II
NC_008170.1	IV
NC_008171.1	III
NC_008184.1	I
NC_008189.1	I
NC_008374.1	II
NC_008375.1	II
NC_008514.1	V
NC_008519.1	I
NC_008586.1	I
NC_008695.1	I
NC_008725.1	I
NC_008737.1	III
NC_008853.1	?
NC_008874.1	?
NC_008894.1	?
NC_008903.1	?
NC_008912.1	?
NC_008928.1	?
NC_008970.1	?
NC_009247.1	III
NC_009450.1	?
NC_009520.1	III
NC_009539.1	I
NC_009562.1	?
NC_009759.1	IV
NC_009827.1	IV
NC_009884.1	I
NC_009889.1	VI
NC_009890.1	III
NC_009944.1	III
NC_009965.1	I
NC_009986.1	I
NC_010152.1	I
NC_010153.1	I
NC_010154.1	I
NC_010155.1	I
NC_010240.1	I
NC_010247.1	?
NC_010251.1	?
NC_010256.1	?
NC_010343.1	III
NC_010490.1	?
NC_010537.1	I
NC_010662.1	III
NC_010669.1	III
NC_010738.1	VII
NC_010744.1	III
NC_010751.1	III
NC_010759.1	?
NC_010797.1	II
NC_010811.2	I
NC_010820.1	VI
NC_010955.1	VI
NC_010956.1	I
NC_011024.1	II
NC_011052.2	II
NC_011217.1	I
NC_011345.1	I
NC_011506.2	III
NC_011591.1	III
NC_011592.1	VII
NC_011800.1	VI
NC_011920.1	VII
NC_012482.1	II
NC_012485.1	I
NC_012538.1	III
NC_012638.1	I
NC_012703.1	V
NC_012728.1	VII
NC_012735.1	IV
NC_012777.1	?
NC_012959.1	I
NC_013020.1	?
NC_013021.1	?
NC_013097.1	II
NC_013133.1	IV
NC_013153.1	I
NC_013226.1	III
NC_013262.1	VII
NC_013413.1	II
NC_013439.1	I
NC_013464.1	II
NC_013585.1	I
NC_013587.1	I
NC_013588.1	I
NC_013649.2	I
NC_013758.1	II
NC_013801.1	?
NC_014085.1	II
NC_014099.1	I
NC_014139.1	II
NC_014243.1	III
NC_014244.1	III
NC_014474.1	VI
NC_014518.1	III
NC_014525.1	III
NC_014636.1	I
NC_014648.1	VII
NC_014798.1	?
NC_015116.1	VI
NC_015124.1	II
NC_015229.1	IV
NC_015230.1	I
NC_015264.1	I
NC_015289.1	I
NC_015297.1	II
NC_015328.1	VII
NC_015396.1	II
NC_015450.1	?
NC_015452.1	?
NC_015502.1	VII
NC_015503.1	VII
NC_015506.1	VII
NC_015507.1	VII
NC_015784.2	VII
NC_016071.1	I
NC_016075.1	I
NC_016154.1	I
NC_016162.1	II
NC_016436.1	IV
NC_016536.1	?
NC_016561.1	VII
NC_016989.1	I
NC_017087.1	II
NC_017088.1	II
NC_017089.1	II
NC_017090.1	II
NC_017685.1	V
NC_017826.1	I
NC_017829.1	?
NC_017859.1	IV
NC_017915.1	?
NC_018105.1	VII
NC_018138.1	?
NC_018271.1	I
NC_018276.1	?
NC_018404.1	IV
NC_018519.1	IV
NC_018616.1	VII
NC_018711.1	?
NC_018718.1	II
NC_019034.1	II
NC_019494.1	IV
NC_019524.2	I
NC_019568.1	II
NC_019715.1	I
NC_019843.3	IV
NC_019844.1	I
NC_019921.1	I
NC_019944.1	?
NC_020077.1	I
NC_020158.1	I
NC_020159.1	I
NC_020252.1	?
NC_020446.1	III
NC_020856.2	?
NC_020864.1	I
NC_020878.1	I
NC_020881.1	VII
NC_020882.1	I
NC_021244.1	?
NC_021249.1	I
NC_021315.1	I
NC_021321.1	I
NC_021322.1	I
NC_021327.1	I
NC_021329.1	I
NC_021330.1	I
NC_021335.1	I
NC_021340.1	I
NC_021471.1	I
NC_021537.1	I
NC_021541.1	III
NC_021562.1	II
NC_021635.1	III
NC_021735.1	IV
NC_022052.1	I
NC_022343.1	I
NC_022365.1	VII
NC_022517.1	VI
NC_022518.1	VI
NC_022559.1	III
NC_022597.1	V
NC_022802.1	IV
NC_023040.1	III
NC_023041.1	III
NC_023043.1	III
NC_023153.1	VI
NC_023422.1	IV
NC_023426.1	I
NC_023442.1	I
NC_023485.1	VII
NC_023488.1	III
NC_023493.1	III
NC_023563.1	I
NC_023585.1	I
NC_023592.1	II
NC_023611.1	I
NC_023635.1	?
NC_023705.1	I
NC_023734.1	?
NC_023761.1	?
NC_023822.1	III
NC_023845.1	I
NC_023887.1	II
NC_023891.1	I
NC_024013.1	II
NC_024017.1	IV
NC_024077.1	IV
NC_024114.1	IV
NC_024151.1	III
NC_024212.1	I
NC_024298.1	?
NC_024301.1	VII
NC_024443.1	VII
NC_024445.1	VII
NC_024482.1	?
NC_024492.1	IV
NC_024505.1	III
NC_024508.1	III
NC_024685.1	IV
NC_024708.1	III
NC_024766.1	IV
NC_024776.1	II
NC_024807.1	?
NC_024890.1	II
NC_025266.1	II
NC_025373.1	V
NC_025375.1	I
NC_025382.1	V
NC_025470.1	?
NC_025478.1	IV
NC_025482.1	IV
NC_025485.1	III
NC_025683.1	II
NC_025715.1	II
NC_025831.1	V
NC_025832.1	V
NC_025850.1	III
NC_025896.1	I
NC_026020.2	VII
NC_026140.1	III
NC_026187.1	?
NC_026240.1	IV
NC_026241.1	II
NC_026270.1	?
NC_026431.1	V
NC_026434.1	V
NC_026472.1	VII
NC_026514.1	II
NC_026602.1	I
NC_026633.1	II
NC_026637.1	II
NC_026642.1	II
NC_026648.1	II
NC_026650.1	II
NC_026770.1	I
NC_026808.1	II
NC_027199.1	IV
NC_027221.1	III
NC_027299.1	?
NC_027352.1	I
NC_027353.1	I
NC_027365.1	I
NC_027400.1	I
NC_027428.1	III
NC_027527.1	IV
NC_027529.1	?
NC_027533.1	III
NC_027545.1	III
NC_027546.1	III
NC_027548.1	III
NC_027622.1	I
NC_027707.1	I
NC_027714.1	II
NC_027779.1	I
NC_027924.1	VII
NC_028112.1	I
NC_028115.1	?
NC_028119.1	I
NC_028132.1	?
NC_028249.1	V
NC_028256.1	I
NC_028266.1	V
NC_028268.1	I
NC_028363.1	IV
NC_028375.1	?
NC_028384.1	IV
NC_028402.1	IV
NC_028483.1	III
NC_028498.1	?
NC_028787.1	I
NC_028870.1	I
NC_028919.1	I
NC_028938.1	I
NC_028968.1	I
NC_028988.1	I
NC_028989.1	II
NC_029009.1	I
NC_029011.1	I
NC_029020.1	I
NC_029048.2	?
NC_029070.1	I
NC_029100.1	?
NC_029103.1	I
NC_029117.1	II
NC_029123.1	V
NC_029124.1	V
NC_029132.1	I
NC_029302.1	III
NC_029303.1	VII
NC_029548.1	I
NC_029585.1	?
NC_029598.1	II
NC_029603.1	?
NC_029605.1	?
NC_029639.1	?
NC_029853.1	VI
NC_029899.1	I
NC_029936.1	V
NC_029997.2	I
NC_030119.1	II
NC_030124.1	II
NC_030153.1	III
NC_030155.1	III
NC_030162.1	III
NC_030205.1	VII
NC_030238.1	II
NC_030378.1	?
NC_030394.2	I
NC_030445.1	VII
NC_030658.1	V
NC_030749.1	II
NC_030794.1	IV
NC_030797.1	I
NC_030839.1	I
NC_030842.1	I
NC_030884.1	I
NC_030902.1	?
NC_030912.1	I
NC_030917.1	I
NC_031038.1	I
NC_031064.1	?
NC_031082.1	I
NC_031101.1	?
NC_031104.1	I
NC_031134.1	III
NC_031140.1	?
NC_031142.1	V
NC_031223.1	V
NC_031225.1	V
NC_031247.1	I
NC_031276.1	V
NC_031290.1	?
NC_031295.1	?
NC_031314.1	?
NC_031316.1	?
NC_031322.1	?
NC_031326.1	VI
NC_031462.1	IV
NC_031758.1	?
NC_031761.1	I
NC_032120.1	I
NC_032125.1	?
NC_032126.1	IV
NC_032130.1	?
NC_032140.1	?
NC_032142.1	?
NC_032180.1	?
NC_032181.1	?
NC_032232.1	?
NC_032237.1	?
NC_032256.1	?
NC_032257.1	?
NC_032263.1	?
NC_032276.1	?
NC_032279.1	?
NC_032280.1	?
NC_032404.1	?
NC_032407.1	?
NC_032449.1	?
NC_032455.1	?
NC_032460.1	IV
NC_032512.1	?
NC_032520.1	?
NC_032529.1	?
NC_032568.1	?
NC_032625.1	?
NC_032635.1	?
NC_032645.1	?
NC_032647.1	?
NC_032726.1	?
NC_032737.1	?
NC_032743.1	?
NC_032805.1	?
NC_032809.1	?
NC_032851.1	III
NC_032876.1	?
NC_032887.1	IV
NC_032903.1	?
NC_032916.1	?
NC_033012.1	III
NC_033025.1	?
NC_033052.1	?
NC_033088.1	?
NC_033115.1	?
NC_033185.1	?
NC_033202.1	?
NC_033219.1	?
NC_033240.1	?
NC_033256.1	?
NC_033262.1	?
NC_033468.1	III
NC_033482.1	?
NC_033487.1	?
NC_033708.1	?
NC_033737.1	I
NC_033738.1	VII
NC_033739.1	VII
NC_033743.1	II
NC_033774.1	?
NC_033775.1	I
NC_033782.1	III
NC_033830.1	?
NC_033836.1	?
NC_033842.1	?
NC_033844.1	?
NC_033846.1	?
NC_033848.1	?
NC_034163.1	III
NC_034172.1	III
NC_034250.1	?
NC_034271.1	III
NC_034384.1	IV
NC_034394.1	V
NC_034407.1	V
NC_034461.1	V
NC_034483.1	V
NC_034619.1	I
NC_034620.1	I
NC_034621.1	I
NC_034624.1	I
NC_034625.1	I
NC_034627.1	I
NC_034628.1	I
NC_034633.1	V
NC_034970.1	IV
NC_034978.1	II
NC_035131.1	III
NC_035185.1	II
NC_035201.1	I
NC_035208.1	I
NC_035210.1	VII
NC_035223.1	?
NC_035488.1	II
NC_036597.1	?
NC_036599.1	?
NC_036604.1	?
NC_036607.1	?
NC_036803.1	IV
NC_037053.1	II
NC_037057.1	I
NC_037059.1	I
NC_037584.1	III
NC_037614.1	?
NC_037655.1	IV
NC_038017.1	I
NC_038232.1	?
NC_038261.1	?
NC_038267.1	I
NC_038287.1	V
NC_038288.1	?
NC_038310.1	IV
NC_038332.1	I
NC_038346.1	II
NC_038366.1	?
NC_038372.1	I
NC_038378.1	VII
NC_038379.1	VII
NC_038380.1	VII
NC_038382.1	VII
NC_038384.1	V
NC_038395.1	II
NC_038400.1	II
NC_038436.1	IV
NC_038445.1	II
NC_038483.1	II
NC_038496.1	II
NC_038503.1	VII
NC_038507.1	I
NC_038521.1	I
NC_038570.1	III
NC_038596.1	III
NC_038602.1	III
NC_038615.1	III
NC_038632.1	III
NC_038645.1	III
NC_038665.1	III
NC_038669.1	VI
NC_038675.1	IV
NC_038733.1	V
NC_038754.1	?
NC_038764.1	IV
NC_038793.1	II
NC_038808.1	II
NC_038820.1	V
NC_038847.1	III
NC_038855.1	V
NC_038871.1	III
NC_038889.1	I
NC_038922.1	VI
NC_038923.1	VI
NC_038931.1	I
NC_038935.1	?
NC_038942.1	V
NC_038953.1	?
NC_038972.1	II
NC_038973.1	?
NC_038986.1	VII
NC_038987.1	VII
NC_038994.1	II
NC_039011.1	?
NC_039024.1	VI
NC_039025.1	VI
NC_039027.1	VI
NC_039028.1	VI
NC_039031.1	VI
NC_039041.1	I
NC_039052.1	I
NC_039062.1	II
NC_039071.1	II
NC_039073.1	IV
NC_039088.1	IV
NC_039203.1	?
NC_039204.1	?
NC_039223.1	V
NC_039238.1	VI
NC_040309.1	?
NC_040311.1	?
NC_040314.1	?
NC_040324.1	II
NC_040328.1	?
NC_040352.1	?
NC_040355.1	?
NC_040357.1	?
NC_040360.1	IV
NC_040388.1	III
NC_040392.1	IV
NC_040404.1	IV
NC_040410.1	III
NC_040417.1	IV
NC_040426.1	?
NC_040432.1	III
NC_040433.1	III
NC_040450.1	?
NC_040453.1	?
NC_040477.1	III
NC_040481.1	III
NC_040517.1	III
NC_040531.1	II
NC_040534.1	IV
NC_040539.1	I
NC_040550.1	I
NC_040579.1	I
NC_040597.1	?
NC_040620.1	I
NC_040633.1	III
NC_040635.1	VII
NC_040639.1	II
NC_040642.1	IV
NC_040691.1	I
NC_040693.1	VII
NC_040696.1	?
NC_040719.1	VII
NC_040748.1	II
NC_040773.1	III
NC_040818.1	I
NC_040822.1	I
NC_040841.1	VII
NC_041861.1	I
NC_041874.1	I
NC_041905.1	I
NC_041995.1	I
NC_042019.1	I
NC_042027.1	I
NC_042035.1	I
NC_042070.1	III
NC_042079.1	I
NC_042103.1	I
NC_042347.1	I
NC_043034.1	V
NC_043047.1	?
NC_043049.1	?
NC_043054.1	I
NC_043156.1	IV
NC_043159.1	IV
NC_043171.1	IV
NC_043190.1	III
NC_043194.1	VI
NC_043203.1	?
NC_043218.1	III
NC_043242.1	I
NC_043245.1	I
NC_043252.1	I
NC_043262.1	?
NC_043269.1	?
NC_043296.1	?
NC_043354.1	?
NC_043381.1	?
NC_043382.1	VI
NC_043393.1	III
NC_043396.1	III
NC_043401.1	IV
NC_043410.1	I
NC_043414.1	II
NC_043423.1	IV
NC_043427.1	II
NC_043443.1	?
NC_043445.1	VI
NC_043454.1	I
NC_043460.1	I
NC_043461.1	I
NC_043466.1	I
NC_043482.1	?
NC_043491.1	VI
NC_043499.1	V
NC_043523.1	VII
NC_043528.1	VII
NC_043531.1	II
NC_043534.1	VII
NC_043535.1	VII
NC_043560.1	V
NC_043591.1	V
NC_043623.1	V
NC_043628.1	V
NC_043638.1	V
NC_043644.1	V
NC_043645.1	V
NC_043648.1	V
NC_043672.1	III
NC_043679.1	?
NC_043690.1	V
NC_043695.1	I
NC_044943.1	I
NC_044948.1	I
NC_044953.1	I
NC_044958.1	I
NC_044959.2	I
NC_047705.1	I
NC_047744.1	I
NC_047862.1	I
NC_047889.1	I
NC_047901.1	I
NC_047928.1	II
NC_047943.1	II
NC_048005.1	I
NC_048037.1	I
NC_048049.1	I
NC_048079.1	I
NC_048127.1	I
NC_048156.1	II
NC_048157.1	II
NC_048158.1	II
NC_048160.1	II
NC_048650.1	I
NC_048722.1	I
NC_048729.1	I
NC_048856.1	I
NC_049345.1	I
NC_049372.1	I
NC_049391.1	I
NC_049429.1	I
NC_049449.1	I
NC_049463.1	I
NC_049508.1	I
NC_049823.1	I
NC_049852.1	I
NC_051621.1	I
NC_052650.1	I
NC_052935.1	I
NC_054650.1	I
NC_054795.1	I
NC_054911.1	I
NC_054953.1	I
NC_054954.1	I
NC_055116.1	I
NC_055131.1	II
NC_055175.1	V
NC_055176.1	V
NC_055179.1	?
NC_055224.1	III
NC_055229.1	I
NC_055236.1	VII
NC_055237.1	VII
NC_055263.1	III
NC_055267.1	III
NC_055288.1	III
NC_055294.1	?
NC_055300.1	?
NC_055319.1	?
NC_055322.1	?
NC_055325.1	?
NC_055326.1	?
NC_055330.1	?
NC_055334.1	?
NC_055350.1	?
NC_055352.1	?
NC_055361.1	?
NC_055366.1	?
NC_055367.1	?
NC_055370.1	?
NC_055382.1	?
NC_055389.1	?
NC_055391.1	?
NC_055404.1	?
NC_055416.1	?
NC_055419.1	?
NC_055440.1	?
NC_055456.1	V
NC_055479.1	V
NC_055488.1	I
NC_055494.1	II
NC_055550.1	?
NC_055552.1	?
NC_055574.1	IV
NC_055580.1	II
NC_055588.1	VII
NC_055595.1	I
NC_055603.1	I
NC_055618.1	II
NC_055622.1	II
NC_055640.1	V
NC_055775.1	I
NC_055776.1	I
NC_055885.1	I
NC_055922.1	V
NC_061439.1	I
NC_061449.1	I
NC_062738.1	I
NC_062739.1	I
NC_062740.1	I
NC_062742.1	I
NC_062753.1	I
NC_062756.1	I
NC_062757.1	I
NC_062758.1	I
NC_062759.1	I
NC_062760.1	I
NC_062761.1	I
NC_062762.1	I
NC_062763.1	I
NC_070664.1	I
NC_070949.1	I
NC_070993.1	I
NC_071026.1	I
NC_071058.1	I
NC_071061.1	I
NC_071062.1	I
NC_072809.1	I
NC_073064.1	I
NC_073211.1	I
NC_073454.1	I
NC_073472.1	I
NC_073777.1	IV
NC_073778.1	IV
NC_073804.1	IV
NC_073822.1	IV
NC_073845.1	IV
NC_073847.1	IV
NC_073879.1	IV
NC_073903.1	IV
NC_073964.1	IV
NC_074003.1	IV
NC_074059.1	IV
NC_074101.1	IV
NC_074163.1	IV
NC_074251.1	IV
NC_074270.1	IV
NC_074350.1	IV
NC_074449.1	IV
NC_074481.1	IV
NC_074505.1	IV
NC_074579.1	IV
NC_074632.1	I
NC_074633.1	I
NC_074634.1	I
NC_074636.1	I
NC_074638.1	I
NC_074639.1	I
NC_074640.1	I
NC_074641.1	I
NC_074643.1	I
NC_074644.1	I
NC_074645.1	I
NC_074647.1	II
NC_074650.1	I
NC_074651.1	I
NC_074652.1	I
NC_074653.1	I
NC_074654.1	I
NC_074655.1	I
NC_074656.1	I
NC_074657.1	I
NC_074758.1	I
NC_074775.1	IV
NC_075034.1	I
NC_075121.1	I
NC_075280.1	IV
NC_075289.1	II
NC_075300.1	II
NC_075345.1	?
NC_075368.1	I
NC_075376.1	II
NC_075563.1	I
NC_075802.1	I
NC_075980.1	IV
NC_076006.1	IV
NC_076008.1	IV
NC_076023.1	VII
NC_076048.1	VII
NC_076129.1	I
NC_076133.1	II
NC_076164.1	I
NC_076166.1	II
NC_076176.1	II
NC_076205.1	VII
NC_076239.1	V
NC_076241.1	V
NC_076242.1	?
NC_076249.1	V
NC_076259.1	II
NC_076260.1	V
NC_076269.1	V
NC_076272.1	II
NC_076287.1	II
NC_076344.1	II
NC_076360.1	II
NC_076375.1	II
NC_076389.1	IV
NC_076395.1	V
NC_076398.1	I
NC_076401.1	II
NC_076413.1	II
NC_076440.1	II
NC_076454.1	V
NC_076455.1	V
NC_076467.1	?
NC_076512.1	I
NC_076513.1	I
NC_076514.1	IV
NC_076519.1	IV
NC_076628.1	IV
NC_076699.1	IV
NC_076723.1	IV
NC_076727.1	IV
NC_076742.1	IV
NC_076746.1	IV
NC_076787.1	IV
NC_076792.1	IV
NC_076793.1	IV
NC_076833.1	IV
NC_076842.1	V
NC_076862.1	V
NC_076872.1	IV
NC_076881.1	IV
NC_076893.1	II
NC_076897.1	V
NC_076902.1	IV
NC_076931.1	V
NC_076932.1	V
NC_076946.1	I
NC_076947.1	VI
NC_076951.1	V
NC_076963.1	I
NC_077014.1	II
NC_077041.1	V
NC_077043.1	V
NC_077070.1	VII
NC_077080.1	II
NC_077093.1	IV
NC_077108.1	VII
NC_077142.1	II
NC_077165.1	VII
NC_077172.1	V
NC_077180.1	II
NC_077205.1	II
NC_077209.1	II
NC_077214.1	I
NC_077215.1	I
NC_077216.1	IV
NC_077221.1	I
NC_077667.1	V
NC_077724.1	III
NC_077756.1	III
NC_077758.1	III
NC_077810.1	V
NC_077828.1	V
NC_077940.1	V
NC_078005.1	V
NC_078020.1	V
NC_078030.1	III
NC_078036.1	V
NC_078046.1	?
NC_078049.1	?
NC_078056.1	?
NC_078057.1	?
NC_078059.1	?
NC_078067.1	?
NC_078096.1	?
NC_078109.1	III
NC_078113.1	III
NC_078120.1	III
NC_078129.1	V
NC_078160.1	V
NC_078223.1	V
NC_078245.1	?
NC_078259.1	V
NC_078261.1	V
NC_078287.1	V
NC_078290.1	V
NC_078293.1	?
NC_078294.1	?
NC_078319.1	?
NC_078343.1	V
NC_078358.1	?
NC_078396.1	V
NC_078400.1	V
NC_078404.1	?
NC_078409.1	?
NC_078413.1	V
NC_078432.1	?
NC_078433.1	?
NC_078440.1	?
NC_078463.1	III
NC_078471.1	?
NC_078559.1	V
NC_078582.1	IV
NC_078587.1	V
NC_078599.1	V
NC_078611.1	V
NC_078616.1	V
NC_078697.1	?
NC_078843.1	IV
NC_078844.1	IV
NC_078866.1	V
NC_078890.1	V
NC_078926.1	V
NC_078936.1	V
NC_078939.1	?
NC_078956.1	V
NC_078959.1	V
NC_078986.1	?
NC_078994.1	?
NC_078998.1	V
NC_079005.1	V
NC_079008.1	?
NC_079028.1	V
NC_079031.1	V
NC_079038.1	?
NC_079046.1	?
NC_079047.1	?
NC_079066.1	V
NC_079073.1	?
NC_079097.1	V
NC_079107.1	?
NC_079115.1	III
NC_079129.1	V
NC_093713.1	I
NC_094196.1	II
NC_096949.1	II
NC_100129.1	I
NC_104627.1	I
NC_106232.1	I
NC_109808.1	I
NC_115651.1	II
NC_115838.1	II
NC_115889.1	II
NC_116322.1	?
NC_116497.1	III
NC_116560.1	V
NC_116862.1	V
NC_117061.1	II
NC_117242.1	II
NC_117243.1	V
NC_129370.1	II
NC_133254.1	I
NC_135468.1	III
NC_135609.1	III
NC_135610.1	III
NC_135652.1	II
NC_135682.1	II
NC_135686.1	II
NC_135687.1	II
NC_137525.1	II
NC_138320.1	II
NC_138392.1	II
NC_138394.1	II
NC_138401.1	II
NC_138403.1	II
NC_138465.1	?
NC_138469.1	?
NC_138478.1	?
NC_139135.1	III
NC_139139.1	III
NC_139178.1	IV
NC_139206.1	III
NC_139207.1	III
NC_139214.1	V
