accession,set_label,baltimore,host,bits_nt
NC_077024.1,euk_heldout,IV,eukaryote,1.8446563482284546
NC_054003.1,euk_heldout,IV,eukaryote,1.8062283992767334
NC_023014.1,euk_heldout,IV,eukaryote,1.8646942377090454
NC_025385.1,euk_heldout,V,eukaryote,1.90664541721344
NC_076923.1,euk_heldout,IV,eukaryote,1.8888829946517944
NC_039197.1,euk_heldout,V,eukaryote,1.897139072418213
NC_002201.1,euk_heldout,VI,eukaryote,1.6766738891601562
NC_055502.1,euk_heldout,I,eukaryote,1.7545273303985596
NC_009991.1,euk_heldout,IV,eukaryote,1.8970845937728882
NC_014905.1,euk_heldout,IV,eukaryote,1.8621119260787964
NC_020864.1,euk_heldout,I,eukaryote,1.6742782592773438
NC_002645.1,euk_heldout,IV,eukaryote,1.7822849750518799
NC_029255.1,euk_heldout,I,eukaryote,1.760024070739746
NC_015469.1,euk_heldout,?,eukaryote,1.8260403871536255
NC_043525.1,euk_heldout,V,eukaryote,1.925781011581421
NC_076911.1,euk_heldout,IV,eukaryote,1.8234953880310059
NC_025359.1,euk_heldout,V,eukaryote,1.9035736322402954
NC_005301.3,euk_heldout,V,eukaryote,1.8775190114974976
NC_033553.1,euk_heldout,IV,eukaryote,1.898627758026123
NC_025835.1,euk_heldout,IV,eukaryote,1.8267329931259155
NC_034450.1,euk_heldout,V,eukaryote,1.8681753873825073
NC_043543.1,euk_heldout,IV,eukaryote,1.8314095735549927
NC_117164.1,euk_heldout,V,eukaryote,1.8999437093734741
NC_040570.1,euk_heldout,IV,eukaryote,1.898531198501587
NC_001940.1,euk_heldout,VI,eukaryote,0.8713198900222778
NC_075022.1,euk_heldout,IV,eukaryote,1.873029351234436
NC_000903.1,euk_heldout,V,eukaryote,1.8850041627883911
NC_002687.1,euk_heldout,I,eukaryote,1.5245083570480347
NC_034454.1,euk_heldout,V,eukaryote,1.8432163000106812
NC_001671.1,euk_heldout,IV,eukaryote,1.8571383953094482
NC_026250.1,euk_heldout,IV,eukaryote,1.777504563331604
NC_007447.1,euk_heldout,IV,eukaryote,1.8063780069351196
NC_003225.3,euk_heldout,I,eukaryote,1.369621992111206
NC_013036.1,euk_heldout,I,eukaryote,1.9406828880310059
NC_025363.1,euk_heldout,V,eukaryote,1.9141201972961426
NC_055114.1,euk_heldout,V,eukaryote,1.8706070184707642
NC_043410.1,euk_heldout,I,eukaryote,1.6522836685180664
NC_076865.1,euk_heldout,IV,eukaryote,1.8435990810394287
NC_054004.1,euk_heldout,IV,eukaryote,1.789797306060791
NC_006146.1,euk_heldout,I,eukaryote,1.7752063274383545
NC_006577.2,euk_heldout,IV,eukaryote,1.6221712827682495
NC_033436.1,euk_heldout,V,eukaryote,1.8476002216339111
NC_006942.1,euk_heldout,V,eukaryote,1.909861445426941
NC_038283.1,euk_heldout,V,eukaryote,1.832746148109436
NC_077047.1,euk_heldout,V,eukaryote,1.8944940567016602
NC_007913.1,euk_heldout,IV,eukaryote,1.866183876991272
NC_075563.1,euk_heldout,I,eukaryote,1.424246072769165
NC_076657.1,euk_heldout,IV,eukaryote,1.4745800495147705
NC_029089.1,euk_heldout,IV,eukaryote,1.9130898714065552
NC_117229.1,euk_heldout,V,eukaryote,1.8213486671447754
NC_076424.1,euk_heldout,V,eukaryote,1.9217901229858398
NC_005343.1,euk_heldout,IV,eukaryote,1.882556676864624
NC_028915.1,phage_seen,I,bacteria,0.1290886551141739
NC_004684.1,phage_seen,I,bacteria,1.3061503171920776
NC_055013.1,phage_seen,I,bacteria,0.7807263135910034
NC_030940.1,phage_seen,I,bacteria,1.0977065563201904
NC_073205.1,phage_seen,I,bacteria,1.0661497116088867
NC_049432.1,phage_seen,I,bacteria,0.8480173945426941
NC_031045.1,phage_seen,I,bacteria,1.6843875646591187
NC_055742.1,phage_seen,I,bacteria,1.6036434173583984
NC_020204.1,phage_seen,I,bacteria,0.9820913672447205
NC_051732.1,phage_seen,I,bacteria,1.2288107872009277
NC_047761.1,phage_seen,I,bacteria,1.156019926071167
NC_105436.1,phage_seen,I,bacteria,1.2063294649124146
NC_048776.1,phage_seen,I,bacteria,1.4902105331420898
NC_011614.1,phage_seen,I,bacteria,0.29830795526504517
NC_048064.1,phage_seen,I,bacteria,1.5245448350906372
NC_047709.1,phage_seen,I,bacteria,0.9696785807609558
NC_054719.1,phage_seen,I,bacteria,1.663964867591858
NC_049425.1,phage_seen,I,bacteria,0.27965202927589417
NC_041925.1,phage_seen,I,bacteria,1.4763262271881104
NC_001978.3,phage_seen,I,bacteria,0.9533531665802002
NC_048099.1,phage_seen,I,bacteria,1.043491005897522
NC_049968.1,phage_seen,I,bacteria,1.5685350894927979
NC_020199.1,phage_seen,I,bacteria,0.5159088373184204
NC_028967.1,phage_seen,I,bacteria,0.16391605138778687
NC_048102.1,phage_seen,I,bacteria,1.150245189666748
NC_048029.1,phage_seen,I,bacteria,1.7107831239700317
NC_055840.1,phage_seen,I,bacteria,1.7459465265274048
NC_026596.1,phage_seen,I,bacteria,1.2795815467834473
NC_042340.1,phage_seen,I,bacteria,1.2772233486175537
NC_060134.1,phage_seen,I,bacteria,1.5769611597061157
NC_055866.1,phage_seen,I,bacteria,1.6010698080062866
NC_009234.1,phage_seen,I,bacteria,0.5835232138633728
NC_042117.1,phage_seen,I,bacteria,1.4157121181488037
NC_018280.1,phage_seen,I,bacteria,1.2671931982040405
NC_031920.1,phage_seen,I,bacteria,0.17502199113368988
NC_019768.1,phage_seen,I,bacteria,0.17666682600975037
NC_051685.1,phage_seen,I,bacteria,1.2776778936386108
NC_047958.1,phage_seen,I,bacteria,1.1819199323654175
NC_042032.1,phage_seen,I,bacteria,1.694648265838623
NC_048818.1,phage_seen,I,bacteria,1.6142960786819458
NC_103643.1,phage_seen,I,bacteria,1.6984405517578125
NC_073373.1,phage_seen,I,bacteria,1.4464329481124878
NC_019928.1,phage_seen,I,bacteria,1.534267783164978
NC_027985.1,phage_seen,I,bacteria,1.4220842123031616
NC_071018.1,phage_seen,I,bacteria,1.7154037952423096
NC_054932.1,phage_seen,I,bacteria,1.6271045207977295
NC_021304.1,phage_seen,I,bacteria,0.9856716394424438
NC_071009.1,phage_seen,I,bacteria,1.181913137435913
NC_023557.1,phage_seen,I,bacteria,1.7409905195236206
NC_026600.1,phage_seen,I,bacteria,1.7383925914764404
NC_019419.2,phage_seen,I,bacteria,1.3907854557037354
NC_021790.1,phage_seen,I,bacteria,1.387166976928711
NC_054972.1,phage_seen,I,bacteria,1.5434105396270752
NC_071069.1,phage_seen,I,bacteria,0.6828461289405823
NC_049359.1,phage_seen,I,bacteria,0.3349584639072418
NC_031055.1,phage_seen,I,bacteria,0.44168296456336975
NC_042062.1,phage_seen,I,bacteria,1.4992161989212036
NC_048703.1,phage_seen,I,bacteria,1.574826717376709
NC_019421.1,phage_seen,I,bacteria,0.4550347626209259
NC_073682.1,phage_seen,I,bacteria,1.6340926885604858
NC_031902.1,phage_seen,I,bacteria,1.6112326383590698
NC_015273.1,phage_seen,I,bacteria,1.083678960800171
NC_053235.1,phage_seen,I,bacteria,1.378134846687317
NC_054790.1,phage_seen,I,bacteria,1.3265808820724487
NC_055829.1,phage_seen,I,bacteria,1.6932730674743652
NC_023747.1,phage_seen,I,bacteria,1.340882420539856
NC_138482.1,phage_seen,I,bacteria,1.2314579486846924
NC_024363.1,phage_seen,I,bacteria,1.4190224409103394
NC_049482.1,phage_seen,I,bacteria,0.2188115417957306
NC_073485.1,phage_seen,I,bacteria,0.9168881773948669
NC_031250.1,phage_seen,I,bacteria,1.7168710231781006
NC_055005.1,phage_seen,I,bacteria,0.9554624557495117
NC_041904.1,phage_seen,I,bacteria,1.683436632156372
NC_041886.1,phage_seen,I,bacteria,1.3190559148788452
NC_054656.1,phage_seen,I,bacteria,0.9808063507080078
NC_028958.1,phage_seen,I,bacteria,1.0954176187515259
NC_009016.1,phage_seen,I,bacteria,1.2186498641967773
NC_055818.1,phage_seen,I,bacteria,1.3524764776229858
NC_103212.1,phage_seen,I,bacteria,1.6242527961730957
NC_070798.1,phage_seen,I,bacteria,1.1259629726409912
NC_069748.1,phage_seen,I,bacteria,1.3651847839355469
NC_031124.1,phage_seen,I,bacteria,1.4170807600021362
NC_107939.1,phage_seen,I,bacteria,1.553781270980835
NC_073449.1,phage_seen,I,bacteria,1.2122927904129028
NC_073747.1,phage_seen,I,bacteria,0.4942355751991272
NC_049400.1,phage_seen,I,bacteria,0.3252376914024353
NC_031039.1,phage_seen,I,bacteria,1.5335513353347778
NC_070911.1,phage_seen,I,bacteria,0.25683748722076416
NC_031258.1,phage_seen,I,bacteria,1.4323228597640991
NC_073027.1,phage_seen,I,bacteria,1.5439531803131104
NC_007808.1,phage_seen,I,bacteria,1.4647272825241089
NC_106230.1,phage_seen,I,bacteria,0.6129904389381409
NC_042022.1,phage_seen,I,bacteria,0.9891493320465088
NC_073607.1,phage_seen,I,bacteria,1.7009735107421875
NC_024208.1,phage_seen,I,bacteria,1.3892784118652344
NC_048206.1,phage_seen,I,bacteria,1.3316709995269775
NC_079176.1,phage_seen,I,bacteria,1.56857430934906
NC_041940.1,phage_seen,I,bacteria,1.387002944946289
NC_070651.1,phage_seen,I,bacteria,0.4827927052974701
NC_008464.1,phage_seen,I,bacteria,0.17340925335884094
